"tab_code","表章項目","cat01_code","労働力状態３区分_時系列","cat02_code","男女_時系列","area_code","地域_時系列","time_code","時間軸（調査年）","unit","value"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","1955000000","1955年","人","1464189"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","1960000000","1960年","人","1605815"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","1965000000","1965年","人","2000430"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","1970000000","1970年","人","2521008"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","1975000000","1975年","人","3046606"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","1980000000","1980年","人","3506288"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","1985000000","1985年","人","3954554"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","1990000000","1990年","人","4504082"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","1995000000","1995年","人","4876527"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","2000000000","2000年","人","5072942"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","2005000000","2005年","人","5214943"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","2010000000","2010年","人","5329180"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","2015000000","2015年","人","5364231"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","2020000000","2020年","人","5415682"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","2015000010","2015年_不詳補完値","人","5364231"
"320","15歳以上人口","100","総数","100","総数","12000","千葉県","2020000010","2020年_不詳補完値","人","5415682"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","1950000000","1950年","人","4404186"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","1955000000","1955年","人","5775125"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","1960000000","1960年","人","7434750"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","1965000000","1965年","人","8652299"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","1970000000","1970年","人","9007441"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","1975000000","1975年","人","9092027"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","1980000000","1980年","人","9203524"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","1985000000","1985年","人","9694149"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","1990000000","1990年","人","10034551"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","1995000000","1995年","人","10235794"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","2000000000","2000年","人","10596334"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","2005000000","2005年","人","10991119"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","2010000000","2010年","人","11492456"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","2015000000","2015年","人","11739671"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","2020000000","2020年","人","12052015"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","2015000010","2015年_不詳補完値","人","11739671"
"320","15歳以上人口","100","総数","100","総数","13000","東京都","2020000010","2020年_不詳補完値","人","12052015"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","1950000000","1950年","人","1684531"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","1955000000","1955年","人","1991940"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","1960000000","1960年","人","2502457"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","1965000000","1965年","人","3395440"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","1970000000","1970年","人","4170475"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","1975000000","1975年","人","4762077"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","1980000000","1980年","人","5215590"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","1985000000","1985年","人","5833453"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","1990000000","1990年","人","6579041"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","1995000000","1995年","人","7006915"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","2000000000","2000年","人","7290998"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","2005000000","2005年","人","7568403"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","2010000000","2010年","人","7808360"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","2015000000","2015年","人","7902540"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","2020000000","2020年","人","7937496"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","2015000010","2015年_不詳補完値","人","7902540"
"320","15歳以上人口","100","総数","100","総数","14000","神奈川県","2020000010","2020年_不詳補完値","人","7937496"
"320","15歳以上人口","100","総数","100","総数","15000","新潟県","1950000000","1950年","人","1612789"
